"","Axis.1","Axis.2"
"FAY_15919",-0.277118832268464,-0.00953699073674264
"FAY_15920",-0.157580461535548,0.0933733271168474
"FAY_15924",-0.224271911400344,0.00394093179440229
"FAY_15927",-0.323310989259504,0.265633326951024
"FAY_15930",-0.268853999821654,0.260254286635753
"FAY_15931",-0.187103859403932,0.0576940370656226
"FAY_15932",-0.251988809044463,0.0873593334197343
"FAY_15933",-0.243472247313035,0.00177005125730053
"FAY_15934",-0.090619594991679,0.0890116143493139
"FAY_15935",-0.0668063631363054,0.0308719702706438
"FAY_15936",-0.265768985882975,0.331732965796557
"FAY_15937",-0.224780004153097,0.0230544837731311
"FAY_15938",-0.232799973814246,0.101489339222671
"FAY_15939",-0.316795445175417,-0.0236574966242014
"FAY_15940",-0.308028333427342,0.319220773199561
"FAY_15943",-0.333857843226599,-0.391724324783617
"FAY_15944",-0.323332810282076,0.0823619811061449
"FAY_15945",-0.222031157275873,0.156924247096765
"FAY_15946",-0.335229349003731,-0.0217442870701357
"FAY_15947",-0.317514170277247,0.100431506840529
"FAY_15951",-0.226039185709403,0.0314016665959726
"FAY_15952",-0.135561103973241,0.0487425966140914
"FAY_15953",-0.152348242004497,-0.0289822000214355
"FAY_15954",-0.268636485439065,-0.0750052910708423
"FAY_15956",-0.166836075222209,0.0940565264359236
"FAY_15958",-0.230726842929808,0.0891160946063215
"FAY_15959",-0.105129429701496,0.0290444457769064
